Designator,Mid X,Mid Y,Rotation,Layer
Brd1,149.629921,-64.29375,0.0,top
D1_2,128.723671,-89.05875,270.0,bottom
D10,178.729921,-89.05875,270.0,bottom
D11,178.729921,-105.7275,270.0,bottom
D12,178.729921,-122.39625,270.0,bottom
D13,178.729921,-139.065,270.0,bottom
D14,162.061171,-139.065,270.0,bottom
D15,145.392421,-139.065,270.0,bottom
D16,128.723671,-139.065,270.0,bottom
D2,145.392421,-89.05875,270.0,bottom
D3,162.061171,-89.05875,270.0,bottom
D4,128.723671,-105.7275,270.0,bottom
D5,145.392421,-105.7275,270.0,bottom
D6,162.061171,-105.7275,270.0,bottom
D7,128.723671,-122.39625,270.0,bottom
D8,145.392421,-122.39625,270.0,bottom
D9,162.061171,-122.39625,270.0,bottom
H1,110.467421,-53.975,180.0,top
H3,185.873671,-53.975,180.0,bottom
H4,185.873671,-142.875,180.0,top
SW1,123.167421,-86.96875,0.0,top
SW10,173.173671,-86.96875,0.0,top
SW11,173.173671,-103.6375,0.0,top
SW12,173.173671,-120.30625,0.0,top
SW13,173.173671,-136.975,0.0,top
SW14,156.504921,-136.975,0.0,top
SW15,139.836171,-136.975,0.0,top
SW16,123.167421,-136.975,0.0,top
SW2,139.836171,-86.96875,0.0,top
SW3,156.504921,-86.96875,0.0,top
SW4,123.167421,-103.6375,0.0,top
SW5,139.836171,-103.6375,0.0,top
SW6,156.504921,-103.6375,0.0,top
SW7,123.167421,-120.30625,0.0,top
SW8,139.836171,-120.30625,0.0,top
SW9,156.504921,-120.30625,0.0,top
U2,169.998671,-60.325,0.0,bottom
